ClientId,Lname,Fname,Type,PhoneNum,Address,PostalCode
1,Johnson,Neil,R,403-264-1384,540 Everbrook Way SW,T2Y 0J2
2,Muelenaere,Ysabel,R,403-313-9302,391th Ave,K1P 5M7
3,De Nault,Richard,R,403-242-0243,3147 Roger Street,V9Y 4M8
4,Niese,Thelma,R,403-282-3982,39 Coach Gate Way SW,T3H 1L7
5,Gerdts,Chris,R,403-685-3347,31 Riverstone Cres SE,T2C 4A4
6,Gerding,Mike,C,403-249-2013,2831 35 St SW,T3E 2Y4
7,Lin,Dan,C,403-274-3358,1756 Dicken Rd,T1Y 4B5
8,Bourgoin,Julie,C,403-453-6723,4207 55 St NE,T3L 2S9
9,Smith,Karen,C,403-532-9511,130 Tuscany Rvn Bay NW,T3E 7E3
10,Williams,Dana,C,403-242-9696,705-4554 Valiant Dr NW,T3A 2V5
